Set,Price_Euro,Pieces,Minifigs
Fox Costume Girl,,,1.0
Bear Costume Guy,,,1.0
Mountain Biker,,,1.0
LEGO Minifigures - Series 19 - Complete,,,16.0
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,,,5.0
Naboo Starfighter Microfighter,,,1.0
Sith Infiltrator Microfighter,,,1.0
Elite Praetorian Guard Battle Pack,,,5.0
Inferno Squad Battle Pack,,,4.0
Darth Vader Bust,,,
Escape Pod vs. Dewback Microfighters,,,3.0
Death Star Escape,,,4.0
Kylo Ren & Sith Trooper,,,
Droid Gunship,,,4.0
AT-AP Walker,,,5.0
X-wing Starfighter Trench Run,,,3.0
Duel on Starkiller Base,,,2.0
TIE Fighter Attack,,,2.0
Action Battle Endor Assault,,,2.0
Action Battle Hoth Generator Attack,,,2.0
Major Vonreg's TIE Fighter,,,4.0
Action Battle Echo Base Defense,,,6.0
Black Ace TIE Interceptor,,,3.0
Slave I - 20th Anniversary Edition,,,5.0
Tantive IV,,,6.0
LEGO Star Wars Advent Calendar,,,9.0
Death Star Cannon,,,2.0
Rebel A-wing Starfighter,,,2.0
Resistance A-wing Starfighter,,,2.0
Resistance Y-wing Starfighter,,,5.0
Pasaana Speeder Chase,,,4.0
Darth Vader's Castle,,,6.0
Imperial Star Destroyer,,,2.0
Droid Commander,,,
AT-ST Raider,,,4.0
Yoda,,,1.0
Kylo Ren's Shuttle,,,6.0
Millennium Falcon,,,7.0
Anakin's Podracer – 20th Anniversary Edition,,,3.0
Snowspeeder – 20th Anniversary Edition,,,4.0
Clone Scout Walker – 20th Anniversary Edition,,,5.0
Imperial Dropship – 20th Anniversary Edition,,,5.0
Mini Boost Droid Commander,,,3.0
The Upside Down,,,8.0
Ferrari F40 Competizione,,,1.0
Chevrolet Camaro ZL1 Race Car,,,1.0
McLaren Senna,,,1.0
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,,,3.0
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,,,4.0
